object file;REPCXX.prep_and_parser;preprocessing;parsing;REPCXX.sema_and_rdt;RDT;REPCXX.lef_init;REPCXX.checkers;UsageRulesChecker;FormatString;MallocSizeofPointer;CheckInconsistentLabels;USAGE_RULES_FOR_CALLS;RCA;REPCXX.XPath;REPCXX.MIR_related;ast_to_mir converter;orderFunctionNodes;mir checksum;mir save;statNPD;REPCXX.lef_finalize;REPCXX.metrics;REPCXX.call_graph;clef.processing_file;GENERAL_KB;READKB;WRITEKB;UMR;NPDKB;NPD.SRC;NPD;RNPD;RNC;ALLOCKB;FREEKB;FREE;MLK;CheckIterator;ABVKB;TaintedStringKB;TaintedString;TaintedAllocKB;TaintedAlloc;Concurrency;rhReleaseKB;CheckLocAddrRet;RETURN;INF_LOOP;CLASSLEVEL;HashNoSalt;HardcodedCredentials;restore mir;clef.kbDInit;recv_cached_data;AnalyzeModifiedGlobals;mir_function_init;mir_function_finalize;ALLOCKB.XMRF;ALLOCKB.ALLOC;TaintedString.ABV_NNTS;TaintedString.SOURCEKB;TaintedString.SINKKB;TaintedString.PROPKB;TaintedAlloc.SOURCEKB;TaintedAlloc.SINKKB;clef.kbDump;clef.kbDumpSocket;KWLEF.MAIN;KWLEF.statNPD;KWLEF.analysis loop;KBDB_SOCK_GET;CACHE_SOCK_GET;KBDB_SOCK_GET_ENT;KBDB_SOCK_GET_KB;KBDB_SOCK_UPD;KBDB_SOCK_UPD_KB;KBDB_SOCK_UPD_KB_RECV;KBDB_SOCK_UPD_KB_DBREAD;KBDB_SOCK_UPD_KB_DBWRITE;KBDB_SOCK_UPD_KB_SYNC;KBDB_SOCK_UPD_DEFECTS;KBDB_SOCK_UPD_HASH;KWLEF.M2SOCK_INNER;KWLEF.M1SOCK_OUTER;KWLEF.finalizing cache;KWLEF.generated kb dump;KBDB_CACHE_READ;KBDB_CACHE_WRITE;LINKER.ParsingOptions;LINKER.InitializationInv;LINKER.ReadingObjects;LINKER.Linking;
null;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.122;0.001
ar.c_1.o;0.107;0.047;0.029;0.011;0.011;0.001;0.008;0.000;0.001;0.000;0.000;0.000;0.001;0.003;0.012;0.004;0.000;0.001;0.004;0.000;0.000;0.002;0.004;0.237;0.037;0.003;0.000;0.001;0.006;0.004;0.004;0.002;0.000;0.017;0.000;0.002;0.002;0.000;0.025;0.002;0.000;0.004;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.002;0.006;0.013;0.001;0.000;0.034;0.001;0.005;0.012;0.000;0.000;0.002;0.000;0.000;0.004;0.005;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
arscan.c_2.o;0.114;0.060;0.032;0.011;0.011;0.001;0.009;0.000;0.001;0.000;0.000;0.000;0.001;0.003;0.028;0.009;0.000;0.003;0.010;0.001;0.000;0.002;0.004;1.398;0.027;0.000;0.000;0.011;0.031;0.005;0.011;0.005;0.000;0.009;0.000;0.000;0.004;0.000;0.083;0.275;0.001;0.194;0.464;0.000;0.009;0.062;0.000;0.025;0.000;0.000;0.043;0.008;0.005;0.000;0.000;0.082;0.003;0.005;0.004;0.000;0.271;0.001;0.001;0.191;0.003;0.002;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
commands.c_3.o;0.108;0.050;0.036;0.013;0.013;0.001;0.010;0.000;0.002;0.000;0.000;0.000;0.002;0.004;0.035;0.010;0.000;0.004;0.015;0.002;0.000;0.003;0.005;1.993;0.090;0.014;0.007;0.010;0.005;0.010;0.037;0.027;0.002;0.343;0.003;0.190;0.291;0.000;0.105;0.011;0.001;0.028;0.000;0.000;0.000;0.048;0.000;0.029;0.000;0.002;0.004;0.024;0.016;0.001;0.002;0.605;0.011;0.053;0.290;0.000;0.000;0.007;0.003;0.000;0.027;0.007;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
default.c_4.o;0.102;0.049;0.029;0.014;0.014;0.001;0.007;0.000;0.001;0.000;0.000;0.000;0.001;0.003;0.008;0.003;0.000;0.000;0.002;0.000;0.000;0.001;0.004;0.096;0.000;0.000;0.000;0.000;0.000;0.001;0.002;0.000;0.000;0.001;0.000;0.000;0.001;0.000;0.005;0.000;0.000;0.001;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.003;0.010;0.001;0.000;0.012;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.001;0.003;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
dir.c_5.o;0.108;0.050;0.036;0.012;0.012;0.001;0.010;0.000;0.002;0.000;0.000;0.000;0.002;0.004;0.041;0.012;0.000;0.005;0.016;0.004;0.000;0.003;0.004;1.467;0.351;0.013;0.006;0.006;0.036;0.112;0.025;0.011;0.000;0.075;0.000;0.002;0.008;0.000;0.098;0.052;0.002;0.016;0.001;0.000;0.000;0.015;0.000;0.227;0.000;0.002;0.005;0.024;0.018;0.005;0.005;0.266;0.007;0.018;0.057;0.000;0.038;0.009;0.003;0.000;0.015;0.010;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
expand.c_6.o;0.104;0.049;0.032;0.012;0.012;0.001;0.009;0.000;0.001;0.000;0.000;0.000;0.001;0.003;0.018;0.005;0.000;0.002;0.006;0.001;0.000;0.002;0.004;3.782;0.701;0.014;0.005;0.003;0.039;0.027;0.036;0.008;0.001;0.031;0.001;0.485;0.008;0.000;0.244;0.004;0.001;0.018;0.003;0.000;0.000;0.021;0.000;0.515;0.000;0.001;0.003;0.011;0.013;0.001;0.002;1.506;0.005;0.016;0.014;0.000;0.000;0.003;0.000;0.000;0.018;0.007;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
file.c_7.o;0.115;0.053;0.039;0.013;0.013;0.001;0.012;0.000;0.002;0.000;0.000;0.000;0.002;0.004;0.057;0.016;0.000;0.007;0.024;0.005;0.000;0.004;0.005;3.047;0.254;0.206;0.104;0.019;0.020;0.063;0.190;0.029;0.000;0.358;0.004;0.552;0.143;0.001;0.139;0.011;0.003;0.035;0.001;0.000;0.000;0.100;0.001;0.042;0.000;0.003;0.008;0.037;0.018;0.001;0.009;0.590;0.020;0.037;0.321;0.000;0.000;0.008;0.001;0.001;0.034;0.010;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
function.c_8.o;0.148;0.059;0.062;0.015;0.015;0.001;0.019;0.000;0.006;0.000;0.000;0.000;0.003;0.007;0.133;0.042;0.000;0.016;0.056;0.012;0.000;0.007;0.006;6.405;1.586;0.038;0.010;0.087;1.270;0.149;0.112;0.046;0.004;0.180;0.004;0.142;0.116;0.003;0.616;0.073;0.008;0.104;0.007;0.000;0.010;0.134;0.002;0.108;0.000;0.008;0.017;0.088;0.025;0.002;0.011;1.265;0.042;0.124;0.055;0.000;0.026;0.022;0.023;0.004;0.099;0.023;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
getopt.c_9.o;0.035;0.009;0.004;0.001;0.001;0.001;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.028;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
