9;7;35
271;7;309
275;7;611
276;7;440
366;7;275
371;7;402
417;7;40
423;7;426
479;7;13
492;7;14
494;7;23
509;7;203
526;7;89
583;7;434
591;7;439
618;7;100
623;7;7
631;7;155
634;7;49
650;7;133
652;7;63
658;7;125
666;7;99
678;7;71
687;7;240
701;7;538
705;7;210
778;7;411
791;7;79
837;7;341
914;7;78
935;7;194
941;7;54
946;7;246
972;7;43
974;7;947
984;7;530
986;7;58
991;7;900
1013;7;126
1094;7;42
1106;7;32
1107;7;190
1111;7;350
1137;7;44
1173;7;45
1176;7;192
1206;7;108
1250;7;72
1252;7;66
1253;7;1
1255;7;1
1257;7;113
1260;7;39
1398;7;1174
1416;7;194
1480;7;96
1507;7;676
1813;7;133
1824;7;171
1826;7;8
1828;7;153
1834;7;175
1870;7;99
1875;7;20
1904;7;90
1924;7;143
1957;7;101
1960;7;42
1962;7;6
1964;7;1
1965;7;19
1995;7;966
2015;7;37
2025;7;105
2059;7;40
2064;7;31
2065;7;644
2071;7;1985
2073;7;1352
2107;7;441
2109;7;14
2110;7;319
2112;7;32
2344;7;208
2347;7;40
2389;7;58
2391;7;123
2414;7;202
2415;7;233
2465;7;85
2472;7;63
9;39;8
9;40;27
9;44;4107086848
271;39;55
271;12;2736
271;40;7
271;18;4
271;13;53
271;11;21
271;15;3
271;16;1
271;44;2842029568
275;39;104
275;12;4827
275;40;199
275;18;35
275;13;91
275;11;44
275;14;78
275;16;35
275;44;1940401792
276;39;137
276;12;9286
276;40;2
276;13;215
276;11;190
276;14;86
276;44;1786395520
366;39;47
366;12;1830
366;40;88
366;18;8
366;13;42
366;11;24
366;14;35
366;16;8
366;44;940034240
371;39;46
371;12;6844
371;40;135
371;18;3
371;13;135
371;11;24
371;14;69
371;16;3
371;44;2087393408
417;39;6
417;12;1413
417;40;2
417;13;27
417;11;5
417;14;5
417;44;2123151744
423;39;52
423;12;6351
423;40;118
423;18;2
423;13;136
423;11;59
423;14;122
423;16;2
423;44;911771072
479;39;2
479;12;116
479;40;5
479;13;2
479;11;2
479;14;4
479;44;2305757696
492;39;2
492;12;163
492;40;6
492;18;3
492;13;3
492;11;1
492;16;3
492;44;3360581376
494;39;2
494;12;212
494;40;3
494;13;4
494;11;1
494;14;14
494;44;3313823744
509;39;28
509;12;4088
509;40;15
509;18;3
509;13;92
509;11;45
509;14;25
509;16;3
509;44;658074944
526;39;10
526;12;1309
526;40;13
526;13;26
526;11;7
526;14;41
526;44;1436777472
583;39;98
583;12;6642
583;40;72
583;18;9
583;13;149
583;11;84
583;14;12
583;16;9
583;44;1503444352
591;39;31
591;12;6344
591;40;224
591;18;2
591;13;164
591;11;98
591;14;60
591;16;2
591;44;2509523456
618;39;17
618;12;1453
618;40;18
618;18;3
618;13;28
618;11;6
618;14;35
618;16;3
618;44;3687616256
623;39;2
623;12;33
623;40;3
623;13;1
623;11;1
623;14;1
623;44;2357631744
631;39;12
631;12;1099
631;40;22
631;18;4
631;13;24
631;11;7
631;14;10
631;16;4
631;44;1235683200
634;39;2
634;12;872
634;40;9
