9;225;1197;1
225;9;1198;1
271;2474;1197;1
2474;271;1198;1
271;2062;1197;2
2062;271;1198;2
271;1994;1197;8
1994;271;1198;8
271;2405;1197;5
2405;271;1198;5
271;2401;1197;5
2401;271;1198;5
271;364;1197;4
364;271;1198;4
271;2106;1197;1
2106;271;1198;1
271;978;1197;5
978;271;1198;5
271;2081;1197;2
2081;271;1198;2
271;2476;1197;1
2476;271;1198;1
275;364;1197;48
364;275;1198;48
275;1939;1195;1
1939;275;1196;1
275;2411;1195;1
2411;275;1196;1
275;335;1195;1
335;275;1196;1
275;225;1197;2
225;275;1198;2
275;294;1195;1
294;275;1196;1
275;1944;1195;1
1944;275;1196;1
275;748;1195;1
748;275;1196;1
275;231;1195;1
231;275;1196;1
275;256;1197;1
256;275;1198;1
275;1988;1195;1
1988;275;1196;1
275;2396;1197;1
2396;275;1198;1
275;1884;1195;2
1884;275;1196;2
275;75;1195;3
75;275;1196;3
275;331;1195;1
331;275;1196;1
275;1977;1195;1
1977;275;1196;1
275;1396;1197;2
1396;275;1198;2
275;75;1197;2
75;275;1198;2
275;360;1197;1
360;275;1198;1
275;339;1195;1
339;275;1196;1
275;379;1195;1
379;275;1196;1
275;302;1197;1
302;275;1198;1
275;1823;1195;2
1823;275;1196;2
275;1400;1195;2
1400;275;1196;2
275;2086;1197;1
2086;275;1198;1
275;2407;1197;1
2407;275;1198;1
275;1130;1195;1
1130;275;1196;1
275;301;1195;1
301;275;1196;1
275;356;1195;1
356;275;1196;1
275;332;1195;1
332;275;1196;1
275;341;1197;1
341;275;1198;1
275;2338;1197;1
2338;275;1198;1
275;1939;1197;1
1939;275;1198;1
275;745;1195;1
745;275;1196;1
275;912;1195;1
912;275;1196;1
275;1992;1197;1
1992;275;1198;1
275;1991;1197;1
1991;275;1198;1
275;2400;1197;1
2400;275;1198;1
275;2103;1197;1
2103;275;1198;1
275;300;1197;1
300;275;1198;1
275;2055;1195;1
2055;275;1196;1
275;322;1197;2
322;275;1198;2
275;2056;1195;1
2056;275;1196;1
275;358;1195;1
358;275;1196;1
275;1396;1195;1
1396;275;1196;1
275;305;1195;1
305;275;1196;1
275;418;1195;2
418;275;1196;2
275;2090;1197;1
2090;275;1198;1
275;1884;1197;2
1884;275;1198;2
275;2103;1195;1
2103;275;1196;1
275;1987;1195;1
1987;275;1196;1
275;2340;1197;1
2340;275;1198;1
275;281;1197;1
281;275;1198;1
275;312;1195;1
312;275;1196;1
366;437;1197;1
437;366;1198;1
366;413;1195;2
413;366;1196;2
366;412;1195;3
412;366;1196;3
366;399;1195;4
399;366;1196;4
366;614;1197;4
614;366;1198;4
366;403;1195;3
403;366;1196;3
366;615;1197;4
615;366;1198;4
366;370;1195;2
370;366;1196;2
366;401;1195;2
401;366;1196;2
366;410;1195;3
410;366;1196;3
366;436;1197;1
436;366;1198;1
366;393;1195;1
393;366;1196;1
366;375;1197;1
375;366;1198;1
366;411;1195;1
411;366;1196;1
366;509;1149;32
509;366;1150;32
371;225;1195;1
225;371;1196;1
371;384;1195;3
384;371;1196;3
371;5197;1197;6
5197;371;1198;6
371;5700;1195;3
5700;371;1196;3
371;372;1195;23
372;371;1196;23
371;378;1195;3
378;371;1196;3
371;381;1195;4
381;371;1196;4
371;75;1197;1
75;371;1198;1
371;386;1197;1
386;371;1198;1
371;385;1195;3
385;371;1196;3
371;380;1197;6
380;371;1198;6
371;5194;1195;2
5194;371;1196;2
371;398;1195;1
398;371;1196;1
371;75;1195;2
75;371;1196;2
371;381;1197;4
381;371;1198;4
371;377;1195;3
377;371;1196;3
371;379;1195;3
379;371;1196;3
371;453;1195;1
453;371;1196;1
371;388;1197;1
388;371;1198;1
371;402;1195;1
402;371;1196;1
371;5197;1195;1
5197;371;1196;1
371;48;1195;1
48;371;1196;1
371;471;1195;1
471;371;1196;1
371;380;1195;3
380;371;1196;3
371;5195;1195;2
5195;371;1196;2
371;365;1195;3
365;371;1196;3
371;383;1195;1
383;371;1196;1
371;389;1197;1
389;371;1198;1
371;5196;1195;1
5196;371;1196;1
371;396;1197;1
396;371;1198;1
371;375;1197;1
375;371;1198;1
371;395;1197;1
395;371;1198;1
417;115;1195;1
115;417;1196;1
423;375;1197;20
